Game,Max Score,Moves
1,83,150
2,73,150
3,77,150
4,90,150
5,75,150
6,77,150
7,79,150
8,73,150
9,83,150
10,76,150
11,77,150
12,74,150
13,76,150
14,73,150
15,74,150
16,76,150
17,81,150
18,76,150
19,81,150
20,40,105
21,101,150
22,71,150
23,79,150
24,75,150
25,71,150
26,79,150
27,73,150
28,77,150
29,81,150
30,71,150
31,71,150
32,72,150
33,68,150
34,71,150
35,79,150
36,82,150
37,69,150
38,79,150
39,82,150
40,79,150
41,67,138
42,70,150
43,75,150
44,80,150
45,77,150
46,73,150
47,78,150
48,69,150
49,73,150
50,78,150
51,75,150
52,72,150
53,83,150
54,81,150
55,94,150
56,78,150
57,97,150
58,79,150
59,65,150
60,75,150
61,87,150
62,87,150
63,81,150
64,79,150
65,88,150
66,85,150
67,79,150
68,73,150
69,73,150
70,75,150
71,73,150
72,75,150
73,81,150
74,70,150
75,89,150
76,75,150
77,80,150
78,69,150
79,72,150
80,64,150
81,76,150
82,68,150
83,80,150
84,70,150
85,85,150
86,81,150
87,78,150
88,79,150
89,79,150
90,71,150
91,73,150
92,69,150
93,70,150
94,81,150
95,85,150
96,71,150
97,73,150
98,85,150
99,79,150
100,77,150
