Game,Score,Moves,Lines Cleared
1,100,150,50
2,119,150,53
3,102,150,52
4,73,150,49
5,128,150,50
6,130,150,56
7,96,150,50
8,105,150,51
9,105,150,49
10,125,150,53
11,108,150,52
12,110,150,50
13,88,150,52
14,106,150,50
15,97,150,51
16,118,150,52
17,90,150,52
18,105,150,51
19,110,150,52
20,123,150,51
21,133,150,53
22,112,150,50
23,118,150,52
24,117,150,51
25,124,150,52
26,75,149,45
27,100,150,52
28,125,150,51
29,98,150,54
30,106,150,52
31,123,150,51
32,103,150,49
33,94,150,50
34,89,150,49
35,115,150,51
36,94,150,52
37,102,150,52
38,117,150,51
39,115,150,53
40,114,150,52
41,122,150,52
42,90,150,50
43,106,150,52
44,117,150,55
45,93,150,51
46,116,150,52
47,97,150,51
48,100,150,52
49,114,150,50
50,98,150,52
51,95,150,49
52,125,150,53
53,106,150,52
54,118,150,52
55,111,150,51
56,124,150,52
57,92,150,54
58,111,150,51
59,88,150,50
60,98,150,50
61,118,150,52
62,105,150,49
63,75,150,51
64,71,150,47
65,108,150,52
66,79,150,47
67,76,150,50
68,111,150,55
69,113,150,53
70,114,150,54
71,92,150,50
72,142,150,54
73,121,150,53
74,121,150,51
75,84,150,50
76,122,150,52
77,124,150,50
78,121,150,51
79,107,150,47
80,128,150,52
81,115,150,53
82,105,150,49
83,96,150,52
84,118,150,52
85,116,150,52
86,127,150,51
87,136,150,50
88,95,150,49
89,106,150,50
90,114,150,50
91,138,150,54
92,98,150,52
93,90,150,52
94,126,150,50
95,109,150,51
96,107,150,49
97,144,150,52
98,113,150,51
99,126,150,52
100,113,150,53
