Game,Max Score,Moves
1,80,150
2,18,51
3,35,90
4,17,57
5,38,96
6,38,96
7,92,150
8,36,78
9,13,57
10,73,150
11,11,48
12,28,54
13,22,72
14,76,150
15,22,51
16,85,150
17,91,150
18,42,102
19,74,150
20,67,150
21,19,75
22,72,150
23,70,150
24,41,108
25,76,150
26,91,150
27,68,150
28,22,60
29,23,69
30,68,150
31,71,150
32,60,150
33,31,96
34,77,150
35,63,150
36,70,150
37,80,150
38,86,150
39,13,60
40,51,126
41,77,150
42,39,123
43,78,150
44,80,150
45,24,78
46,71,150
47,38,102
48,88,150
49,82,150
50,51,102
51,43,117
52,78,150
53,44,105
54,8,45
55,81,150
56,56,144
57,27,81
58,56,135
59,9,36
60,40,120
61,30,99
62,81,150
63,69,126
64,71,150
65,93,150
66,78,150
67,80,150
68,45,120
69,61,150
70,25,87
71,56,135
72,36,87
73,71,150
74,51,117
75,29,90
76,83,150
77,74,150
78,65,150
79,67,150
80,69,150
81,76,150
82,61,150
83,79,150
84,72,150
85,43,120
86,81,150
87,66,150
88,85,150
89,25,87
90,34,72
91,66,150
92,50,111
93,84,150
94,69,150
95,51,114
96,68,150
97,67,150
98,32,96
99,68,150
100,52,117
