Game,Max Score,Moves
1,65,150
2,79,150
3,77,150
4,79,150
5,83,150
6,54,144
7,77,150
8,76,150
9,76,150
10,85,150
11,77,150
12,69,150
13,79,150
14,93,150
15,68,150
16,95,150
17,75,150
18,91,150
19,79,150
20,85,150
21,88,150
22,79,150
23,72,150
24,82,150
25,76,150
26,67,150
27,75,150
28,66,150
29,93,150
30,71,150
31,81,150
32,83,150
33,79,150
34,72,150
35,65,150
36,76,150
37,85,150
38,72,150
39,80,150
40,73,150
41,83,150
42,72,150
43,75,150
44,79,150
45,69,150
46,73,150
47,75,150
48,73,150
49,79,150
50,73,150
51,76,150
52,74,150
53,73,150
54,75,150
55,89,150
56,71,150
57,69,150
58,69,150
59,67,150
60,81,150
61,73,150
62,79,150
63,83,150
64,87,150
65,72,150
66,75,150
67,71,150
68,95,150
69,81,150
70,78,150
71,73,150
72,65,150
73,77,150
74,83,150
75,95,150
76,77,150
77,75,150
78,77,150
79,73,150
80,73,150
81,81,150
82,75,150
83,88,150
84,77,150
85,86,150
86,73,150
87,69,150
88,78,150
89,93,150
90,76,150
91,75,150
92,69,150
93,73,150
94,83,150
95,79,150
96,75,150
97,81,150
98,73,150
99,79,150
100,75,150
